Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Electricity:Facility [J](TimeStep),Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 01/03  08:45:00,5.1,51.5,93369481.95056015,5064452.0398816349,0.0,6206198.190382471,30735999.554090404 
 01/03  09:00:00,6.1,45.0,92585309.86620102,5189313.210102885,0.0,5297164.93580208,30735999.554090404 
 01/03  09:15:00,7.374999999999999,46.25,83802982.25307952,4899863.564412767,0.0,4368137.493399243,30735999.554090404 
 01/03  09:30:00,8.649999999999999,47.5,83411048.52491544,5202472.48240865,0.0,3673594.8472392896,30735999.554090404 
 01/03  09:45:00,9.924999999999999,48.75,83036702.97715658,5575497.985504878,0.0,3164264.548323331,30497958.802151257 
 01/03  10:00:00,11.2,50.0,82484102.58162788,5952114.0181403909,0.0,2730095.7672364006,30002911.155073979 
 01/03  10:15:00,11.349999999999998,53.25,80539308.30768027,6105194.977214765,0.0,2377724.5015286945,30002911.155073979 
 01/03  10:30:00,11.5,56.5,80359956.98032585,6428537.126726222,0.0,2063044.6602166873,29814897.519520128 
 01/03  10:45:00,11.650000000000003,59.75,80348103.37281309,6691975.8994239759,0.0,1787752.2800061755,29814897.519520128 
 01/03  11:00:00,11.8,63.0,80390534.38435489,6938774.505567049,0.0,1583384.6854048903,29814897.519520128 
 01/03  11:15:00,12.525000000000003,60.5,82350219.37830763,7281034.41776425,0.0,1455305.7998461454,29814897.519520128 
 01/03  11:30:00,13.25,58.0,82398522.6554806,7494528.000399319,0.0,1290115.494384047,29814897.519520128 
 01/03  11:45:00,13.974999999999998,55.5,82201653.28974012,7480064.853495445,0.0,1107709.275547435,29814897.519520128 
 01/03  12:00:00,14.7,53.0,82119837.35872604,7610034.572372407,0.0,895923.6256563817,29814897.519520128 
 01/03  12:15:00,15.274999999999999,50.0,84297952.07200101,6845882.589057965,1905551.7725005467,1045253.4446080299,29814897.519520128 
 01/03  12:30:00,15.85,47.0,86001634.12983385,7021255.563128155,4129753.5045025146,349360.7963686919,29814897.519520128 
 01/03  12:45:00,16.425,44.0,87964133.1947689,7133513.9244873,6329355.004447119,0.0,29814897.519520128 
 01/03  13:00:00,17.0,41.0,90074999.38781105,7225131.6458641509,8348603.476112422,0.0,29814897.519520128 
